Image_number,URL,PMID,Pathophysiological_Process,Anatomy,Cell,Subject,Predicate,Object,Source,Subject_Object,Normalized_Subject_Object,Category_BERT_Keywords
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,COVID-19,increases,IL6,CBM,COVID-19 IL6,covid 19 il6,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,COVID-19,increases,type I interferon,CBM,COVID-19 type I interferon,covid 19 type i interferon,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,COVID-19,increases,CXCL10,CBM,COVID-19 CXCL10,covid 19 cxcl10,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,IL6,increases,inflammatory response,CBM,IL6 inflammatory response,il6 inflammatory response,Viral Entry and Neuroinvasion
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,type I interferon,increases,inflammatory response,CBM,type I interferon inflammatory response,type i interferon inflammatory response,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,CXCL10,increases,inflammatory response,CBM,CXCL10 inflammatory response,cxcl10 inflammatory response,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Anosmia,olfactory gland,olfactory ectomesenchymal cell; sustentacular cell; olfactory receptor cell,inflammatory response,increases,Anosmia,CBM,inflammatory response Anosmia,inflammatory response anosmia,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Brain fog; Neuropsychiatric disorder,cigulate cortex; Hippocampus; Amygdala,Neurons,reactive oxygen species,increases,hypoxia,CBM,reactive oxygen species hypoxia,reactive oxygen species hypoxia,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Brain fog; Neuropsychiatric disorder,cigulate cortex; Hippocampus; Amygdala,Neurons,reactive oxygen species,increases,ischemia,CBM,reactive oxygen species ischemia,reactive oxygen species ischemia,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Brain fog; Neuropsychiatric disorder,cigulate cortex; Hippocampus; Amygdala,Neurons,reactive oxygen species,increases,Nerve Degeneration,CBM,reactive oxygen species Nerve Degeneration,reactive oxygen species nerve degeneration,Neurodegenerative Mechanisms
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Neurocognitive Disorders,Medulla Oblongata; Cerebellum; Pons,Missing,COVID-19,increases,microglial cell activation,CBM,COVID-19 microglial cell activation,covid 19 microglial cell activation,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Neurocognitive Disorders,Medulla Oblongata; Cerebellum; Pons,Missing,COVID-19,increases,astrocyte activation,CBM,COVID-19 astrocyte activation,covid 19 astrocyte activation,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Neurocognitive Disorders,Medulla Oblongata; Cerebellum; Pons,Missing,COVID-19,increases,cytotoxic T cell infiltration,CBM,COVID-19 cytotoxic T cell infiltration,covid 19 cytotoxic t cell infiltration,Immune and Inflammatory Response
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Dysbiosis,Gastrointestinal tract,Missing,COVID-19,increases,Dysbiosis,CBM,COVID-19 Dysbiosis,covid 19 dysbiosis,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Dysbiosis,Gastrointestinal tract,Missing,Dysbiosis,regulates,Brain-Gut Axis,CBM,Dysbiosis Brain-Gut Axis,dysbiosis brain gut axis,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Dysbiosis,Gastrointestinal tract,Missing,COVID-19,regulates,ACE2,CBM,COVID-19 ACE2,covid 19 ace2,Systemic Cross-Organ Effects
image_1,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,36899952,Dysbiosis,Gastrointestinal tract,Missing,COVID-19,regulates,DDC,CBM,COVID-19 DDC,covid 19 ddc,Systemic Cross-Organ Effects
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,lockdown psychosocial stress,increases,glial cell activation,CBM,lockdown psychosocial stress glial cell activation,lockdown psychosocial stress glial cell activation,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,depressive disorder,CBM,glial cell activation depressive disorder,glial cell activation depressive disorder,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,bipolar disorder,CBM,glial cell activation bipolar disorder,glial cell activation bipolar disorder,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,post-traumatic stress disorder,CBM,glial cell activation post-traumatic stress disorder,glial cell activation post traumatic stress disorder,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,psychosis,CBM,glial cell activation psychosis,glial cell activation psychosis,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,obsessive-compulsive disorder,CBM,glial cell activation obsessive-compulsive disorder,glial cell activation obsessive compulsive disorder,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,epilepsy,CBM,glial cell activation epilepsy,glial cell activation epilepsy,Viral Entry and Neuroinvasion
