URL,Pathophysiological Process,Subject,Predicate,Object,Image_number,Source,Subject_Object,Normalized_Subject_Object,Category_BERT_Keywords
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Hypoxia_Ischemia_and_Neurodegeneration,SARS-CoV-2_infection,causes,hypoxia,image_1,GPT,SARS-CoV-2_infection hypoxia,sars cov 2 infection hypoxia,Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Hypoxia_Ischemia_and_Neurodegeneration,Hypoxia,leads_to,ischemia,image_1,GPT,Hypoxia ischemia,hypoxia ischemia,Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Hypoxia_Ischemia_and_Neurodegeneration,Ischemia,results_in,neurodegeneration,image_1,GPT,Ischemia neurodegeneration,ischemia neurodegeneration,Vascular Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Microglia_and_Astrocyte_Activation,SARS-CoV-2_infection,triggers,microglia_activation,image_1,GPT,SARS-CoV-2_infection microglia_activation,sars cov 2 infection microglia activation,Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Microglia_and_Astrocyte_Activation,Microglia_activation,causes,astrocyte_activation,image_1,GPT,Microglia_activation astrocyte_activation,microglia activation astrocyte activation,Immune and Inflammatory Response
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Microglia_and_Astrocyte_Activation,Cytotoxic_T_lymphocyte_infiltration,leads_to,neurocognitive_deficits,image_1,GPT,Cytotoxic_T_lymphocyte_infiltration neurocognitive_deficits,cytotoxic t lymphocyte infiltration neurocognitive deficits,Immune and Inflammatory Response
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Olfactory_System_Impact,SARS-CoV-2_infection,affects,olfactory_sensory_neuron,image_1,GPT,SARS-CoV-2_infection olfactory_sensory_neuron,sars cov 2 infection olfactory sensory neuron,Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Olfactory_System_Impact,Olfactory_sensory_neuron,involves,anosmia,image_1,GPT,Olfactory_sensory_neuron anosmia,olfactory sensory neuron anosmia,Viral Entry and Neuroinvasion
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Olfactory_System_Impact,Olfactory_ectomesenchymal_stem_cells,are_affected_by,SARS-CoV-2_infection,image_1,GPT,Olfactory_ectomesenchymal_stem_cells SARS-CoV-2_infection,olfactory ectomesenchymal stem cells sars cov 2 infection,Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Gut_Dysbiosis,SARS-CoV-2_infection,causes,gut_dysbiosis,image_1,GPT,SARS-CoV-2_infection gut_dysbiosis,sars cov 2 infection gut dysbiosis,Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Gut_Dysbiosis,Gut_dysbiosis,affects,dopamine_decarboxylase,image_1,GPT,Gut_dysbiosis dopamine_decarboxylase,gut dysbiosis dopamine decarboxylase,Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg,Gut_Dysbiosis,ACE2_receptor,is_involved_in,gut_dysbiosis,image_1,GPT,ACE2_receptor gut_dysbiosis,ace2 receptor gut dysbiosis,Viral Entry and Neuroinvasion
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,Glial_Cells_Activation,COVID-19,affects,circumventricular_organs,image_2,GPT,COVID-19 circumventricular_organs,covid 19 circumventricular organs,Systemic Cross-Organ Effects
