image,subject,relation,object
image_15.jpg,Cerebrovascular,interacts_with,Cerebrovascular
image_15.jpg,Cells,interacts_with,Cells
image_15.jpg,Cells,interacts_with,Cells
image_15.jpg,Neurons,interacts_with,Neurons
image_15.jpg,Endothelial,interacts_with,Endothelial
image_15.jpg,Direct,interacts_with,Direct
image_15.jpg,Neurons,interacts_with,Neurons
image_15.jpg,of,interacts_with,of
image_15.jpg,Invasion,interacts_with,Invasion
image_15.jpg,Viral,interacts_with,Invasion
image_15.jpg,Viral,interacts_with,Viral
image_15.jpg,Viral,interacts_with,Viral
image_15.jpg,Direct,interacts_with,Direct
image_15.jpg,Direct,interacts_with,Direct
image_15.jpg,Direct,interacts_with,Direct
image_15.jpg,Viral,interacts_with,Viral
image_15.jpg,Viral,interacts_with,Viral
image_15.jpg,&,interacts_with,&
image_15.jpg,Direct,interacts_with,Direct
image_15.jpg,of,interacts_with,of
image_15.jpg,|,interacts_with,|
image_15.jpg,y,interacts_with,y
image_15.jpg,system,interacts_with,|
image_15.jpg,Thrombus,interacts_with,Thrombus
image_15.jpg,Cytokines,interacts_with,Cytokines
image_15.jpg,Cytokines,interacts_with,Cytokines
image_15.jpg,of,interacts_with,of
image_15.jpg,Formation,interacts_with,Formation
image_15.jpg,Coagulopathies,interacts_with,Coagulopathies
image_15.jpg,Thrombus,interacts_with,Thrombus
image_15.jpg,of,interacts_with,Cytokines
image_15.jpg,of,interacts_with,of
image_15.jpg,factors,interacts_with,factors
image_15.jpg,Coagulopathies,interacts_with,Coagulopathies
image_15.jpg,Overproduction,interacts_with,Cytokines
image_15.jpg,&,interacts_with,&
image_15.jpg,Coagulopathies,interacts_with,Formation
image_15.jpg,Thrombus,interacts_with,Thrombus
image_15.jpg,of,interacts_with,of
image_15.jpg,Immune,interacts_with,Immune
image_15.jpg,Immune,interacts_with,Immune
image_15.jpg,Immune,interacts_with,Immune
image_15.jpg,system,interacts_with,system
image_15.jpg,Immune,interacts_with,Immune
image_15.jpg,Immune,interacts_with,Immune
image_15.jpg,Immune,interacts_with,Immune
image_15.jpg,Immune,interacts_with,Immune
image_15.jpg,Immune,interacts_with,Immune
image_15.jpg,Immune,interacts_with,Immune
image_15.jpg,vv,interacts_with,vv
image_15.jpg,Endothelial,interacts_with,Endothelial
image_15.jpg,Endothelial,interacts_with,Endothelial
image_15.jpg,vv,interacts_with,vv
image_15.jpg,Endothelial,interacts_with,Endothelial
image_15.jpg,COVID-19,decreases,COVID-19
image_15.jpg,COVID-19,decreases,COVID-19
image_15.jpg,COVID-19,decreases,COVID-19
image_15.jpg,COVID-19,decreases,COVID-19
image_15.jpg,COVID-19,decreases,COVID-19
image_15.jpg,COVID-19,decreases,COVID-19
image_15.jpg,Endothelial,interacts_with,Endothelial
image_15.jpg,vv,interacts_with,vv
image_15.jpg,vv,interacts_with,vv
image_15.jpg,Endothelial,interacts_with,Endothelial
image_15.jpg,1c,interacts_with,1c
image_15.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_15.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_15.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_15.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_15.jpg,with,interacts_with,with
image_15.jpg,infection,interacts_with,with
image_15.jpg,infection,interacts_with,infection
image_15.jpg,infection,interacts_with,infection
image_15.jpg,infection,interacts_with,infection
image_15.jpg,infection,interacts_with,infection
image_15.jpg,e,interacts_with,infection
image_15.jpg,e,interacts_with,e
image_15.jpg,e,interacts_with,e
image_15.jpg,Initial,interacts_with,e
image_15.jpg,Initial,interacts_with,Initial
image_15.jpg,Initial,interacts_with,Initial
image_15.jpg,with,interacts_with,with
image_15.jpg,infection,interacts_with,infection
image_15.jpg,Initial,interacts_with,Initial
image_15.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_15.jpg,with,decreases,SARS-CoV-2
image_15.jpg,Initial,interacts_with,Initial
image_15.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_15.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_15.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_15.jpg,with,interacts_with,with
image_15.jpg,with,interacts_with,with
image_15.jpg,infection,interacts_with,infection
image_15.jpg,e,interacts_with,e
image_15.jpg,e,interacts_with,e
image_15.jpg,Initial,interacts_with,Initial
image_15.jpg,with,interacts_with,with
image_15.jpg,infection,interacts_with,infection
image_15.jpg,e,interacts_with,e
image_29.jpg,:,interacts_with,:
image_29.jpg,:,interacts_with,:
image_29.jpg,:,interacts_with,:
image_29.jpg,Oligogendroglia,interacts_with,:
image_29.jpg,Oligogendroglia,interacts_with,Oligogendroglia
image_29.jpg,Oligogendroglia,interacts_with,Oligogendroglia
image_29.jpg,Oligogendroglia,interacts_with,Oligogendroglia
image_29.jpg,Oligogendroglia,interacts_with,Oligogendroglia
image_29.jpg,Oligogendroglia,interacts_with,:
image_29.jpg,:,interacts_with,:
image_29.jpg,~,interacts_with,~
image_29.jpg,Astrogiia,interacts_with,AS
image_29.jpg,i,interacts_with,i
image_29.jpg,Astrogiia,interacts_with,Astrogiia
image_29.jpg,Astrogiia,interacts_with,Astrogiia
image_29.jpg,AS,interacts_with,AS
image_29.jpg,~,interacts_with,~
image_29.jpg,~,interacts_with,~
image_29.jpg,AS,interacts_with,AS
image_29.jpg,~,interacts_with,~
image_29.jpg,AS,interacts_with,~
image_29.jpg,~,interacts_with,~
image_29.jpg,~,interacts_with,~
image_29.jpg,AS,interacts_with,AS
image_29.jpg,AS,interacts_with,~
image_29.jpg,AS,interacts_with,AS
image_29.jpg,~,interacts_with,barrier
image_29.jpg,i,interacts_with,i
image_29.jpg,i,interacts_with,i
image_29.jpg,i,interacts_with,i
image_29.jpg,i,interacts_with,i
image_29.jpg,i,interacts_with,i
image_29.jpg,i,interacts_with,i
image_29.jpg,i,interacts_with,i
image_29.jpg,barrier,interacts_with,barrier
image_29.jpg,barrier,interacts_with,barrier
image_29.jpg,barrier,interacts_with,barrier
image_29.jpg,barrier,interacts_with,barrier
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,cytokines,interacts_with,cytokines
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,barrier
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,cytokines,interacts_with,cytokines
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,i,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,cytokines,interacts_with,cytokines
image_29.jpg,Placental,interacts_with,Placental
image_29.jpg,Placental,interacts_with,Placental
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,a,interacts_with,a
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,a,interacts_with,a
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,:,interacts_with,:
image_14.jpg,a,interacts_with,a
image_14.jpg,a,interacts_with,a
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,:,interacts_with,:
image_14.jpg,:,interacts_with,:
image_14.jpg,Newron,interacts_with,Newron
image_14.jpg,:,interacts_with,:
image_14.jpg,:,interacts_with,:
image_14.jpg,:,interacts_with,:
image_14.jpg,a,interacts_with,a
image_14.jpg,a,interacts_with,a
image_14.jpg,a,interacts_with,a
image_14.jpg,a,interacts_with,a
image_14.jpg,:,interacts_with,:
image_14.jpg,4,interacts_with,4
image_14.jpg,a,interacts_with,a
image_14.jpg,4,interacts_with,4
image_14.jpg,4,interacts_with,4
image_14.jpg,4,interacts_with,4
image_14.jpg,4,interacts_with,4
image_14.jpg,4,interacts_with,4
image_14.jpg,17,interacts_with,17
image_14.jpg,4,interacts_with,4
image_14.jpg,:,interacts_with,:
image_14.jpg,4,interacts_with,4
image_14.jpg,4,interacts_with,4
image_14.jpg,17,interacts_with,17
image_14.jpg,4,interacts_with,4
